pta_id,name,parties,n_parties,year,date_signed,date_into_force,status,type,notification,composition,region,crossregional,parties_wto,language,wto_rta_id,template_flag,template_exporter,is_template,is_us_tpa,is_eu_template,is_plurilateral,n_g20_parties,asymmetry_type,asymmetry_note,alschner_cluster,agreement_name,current_signatories,original_signatories,rta_composition,text_of_the_agreement,annexes_related_documents,annexes,document_type,factual_presentation_g_s,factual_presentation_g,central_european_free_trade_agreement_cefta_secretariat,european_free_trade_association_efta,remarks,southern_african_customs_union_sacu,factual_presentation_s,eu_treaty,european_commission,t_rkiye_ministry_of_trade,text_of_the_agreement_unnofficial_translation,secretariat_general_of_the_gulf_cooperation_council_gcc,mexico_central_america,office_of_the_united_states_trade_representative,factual_abstract_g,economic_community_of_west_african_states_ecowas,bilateral_protocol_and_annexes,asean_free_trade_area_afta,additional_protocol,southern_african_development_community_sadc_accession_of_seychelles,southern_african_development_community_sadc,trade_in_goods,trade_in_services,annexes_goods,annexes_services,annex_7_tourism,treaty_on_a_free_trade_area_between_members_of_the_commonwealth_of_independent_states_cis,russian_federation_ministry_of_foreign_affairs,republic_of_moldova_ministry_of_economy_and_infrastructure,ukraine_ministry_for_development_of_economy_trade_and_agriculture,factual_abstract_s,central_european_free_trade_agreement_cefta_2006,t_rkiye_bosnia_and_herzegovina,latin_american_integration_association_laia,east_african_community_eac_accession_of_burundi_and_rwanda,east_african_community_eac,commission_de_la_communaut_economique,revised_treaty,l_union_economique_et_mon_taire_ouest_africaine,commonwealth_of_independent_states_cis
1,Japan - Thailand,"['JPN', 'THA']",2,2007,2007-04-03,2007-11-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,East Asia,No,Yes,en,1,japan_epa_template,JPN,True,False,False,False,1,bilateral_asymmetric,"JPN template exported to smaller partner (japan_epa_template). High CCS may reflect imposition, not organic completeness.",modern_global,Japan - Thailand,Japan; Thailand,Japan; Thailand,Bilateral,E,,E,Language,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Egypt - Turkey,"['EGY', 'TUR']",2,2005,2005-12-27,2007-03-01,In Force,Free Trade Agreement,Enabling Clause,Bilateral,Africa; Europe,Yes,Yes,en,2,none,,False,False,False,False,1,bilateral_asymmetric,"One major economy, one smaller partner — possible power asymmetry but no known template detected. Treat with caution.",modern_global,Egypt - Türkiye,Egypt; Türkiye,Egypt; Türkiye,Bilateral,E,,E,Language,,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Chile - Japan,"['CHL', 'JPN']",2,2007,2007-03-27,2007-09-03,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,South America; East Asia,Yes,Yes,en,3,japan_epa_template,JPN,True,False,False,False,1,bilateral_asymmetric,"JPN template exported to smaller partner (japan_epa_template). High CCS may reflect imposition, not organic completeness.",modern_global,Chile - Japan,Chile; Japan,Chile; Japan,Bilateral,E S,,E S,Language,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Central European Free Trade Agreement (CEFTA) 2006,"['ALB', 'BIH', 'MDA', 'MKD', 'MNE', 'RKS', 'SRB']",7,2006,2006-12-19,2007-05-01,In Force,Free Trade Agreement,GATT Art. XXIV,Plurilateral,Europe; Commonwealth of Independent States (CIS),Yes,No,en,4,none,,False,False,False,True,0,plurilateral_symmetric,"7-party agreement, no dominant template detected. G20 members present: 0",modern_global,Central European Free Trade Agreement (CEFTA) 2006,"Albania; Bosnia and Herzegovina; Kosovo (under UNSC res. 1244); Moldova, Republic of; Montenegro; North Macedonia; Serbia","Albania; Bosnia and Herzegovina; Bulgaria; Croatia; Kosovo (under UNSC res. 1244); Moldova, Republic of; Montenegro; North Macedonia; Romania; Serbia",Plurilateral,E,,E,Language,,E F S,Central European Free Trade Agreement (CEFTA) Secretariat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,EFTA - Egypt,"['CHE', 'EGY', 'ISL', 'LIE', 'NOR']",5,2007,2007-01-27,2007-08-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Africa; Europe,Yes,Yes,en,5,none,,False,False,False,True,0,plurilateral_symmetric,"5-party agreement, no dominant template detected. G20 members present: 0",modern_global,EFTA - Egypt,Egypt; Iceland; Liechtenstein; Norway; Switzerland,Egypt; Iceland; Liechtenstein; Norway; Switzerland,Bilateral; One Party is an RTA,E,,E,Language,,E F S,,European Free Trade Association (EFTA),"Notification of the entry into force of Decision No. 1 of 2014 of the Joint EFTA-Egypt Committee, concerning amendments to Protocol A, concerning processed agricultural products. 

Extends the application of Protocol A for two years, until 31 July 2016, to allow for negotiations pursuant to Article 4 of Protocol A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Southern African Customs Union (SACU),"['BWA', 'LSO', 'NAM', 'SWZ', 'ZAF']",5,2002,2002-10-21,2004-07-15,In Force,Customs Union,GATT Art. XXIV,Plurilateral,Africa,No,Yes,en,7,none,,False,False,False,True,1,plurilateral_symmetric,"5-party agreement, no dominant template detected. G20 members present: 1",modern_global,Southern African Customs Union (SACU),Botswana; Eswatini; Lesotho; Namibia; South Africa,Botswana; Eswatini; Lesotho; Namibia; South Africa,Plurilateral,E,,E,Language,,E F S,,,,Southern African Customs Union (SACU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Chile - China,"['CHL', 'CHN']",2,2005,2005-11-18,2006-10-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,South America; East Asia,Yes,Yes,en,8,china_template,CHN,True,False,False,False,1,bilateral_asymmetric,"CHN template exported to smaller partner (china_template). High CCS may reflect imposition, not organic completeness.",modern_global,Chile - China,Chile; China,Chile; China,Bilateral,E S,,E S,Language,,E F S,,,"The Protocol to Amend the Free Trade Agreement and the Supplementary Agreement on Trade in Services of the Free Trade Agreement between the Government of the Republic of Chile and the Government of the People's Republic of China (hereinafter referred to as ""the Protocol"") has integrated and upgraded the Free Trade Agreement and its Supplementary Agreement on Trade in Services, further raising the liberalization level of tariff concession and service commitments. The Protocol has also optimized the rules of origin and its procedures for implementation, increased areas of economic and technical cooperation. Furthermore, the Protocol added new chapters of Customs Procedures and Trade Facilitation, E-commerce, Competition and Environment and trade.",,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Trans-Pacific Strategic Economic Partnership,"['BRN', 'CHL', 'NZL', 'SGP']",4,2005,2005-07-18,2006-05-28,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Plurilateral,East Asia; South America; Oceania,Yes,Yes,en,9,none,,False,False,False,True,0,plurilateral_symmetric,"4-party agreement, no dominant template detected. G20 members present: 0",modern_global,Trans-Pacific Strategic Economic Partnership,Brunei Darussalam; Chile; New Zealand; Singapore,Brunei Darussalam; Chile; New Zealand; Singapore,Plurilateral,E S,,E S,Language,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,India - Singapore,"['IND', 'SGP']",2,2005,2005-06-29,2005-08-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,West Asia; East Asia,Yes,Yes,en,10,none,,False,False,False,False,1,bilateral_asymmetric,"One major economy, one smaller partner — possible power asymmetry but no known template detected. Treat with caution.",modern_global,India - Singapore,India; Singapore,India; Singapore,Bilateral,E,,E,Language,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Panama - Singapore,"['PAN', 'SGP']",2,2006,2006-03-01,2006-07-24,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Central America; East Asia,Yes,Yes,en,11,none,,False,False,False,False,0,bilateral_symmetric,South-South or peer agreement — no asymmetry signals detected. CCS reflects genuine bilateral negotiation.,modern_global,Panama - Singapore,Panama; Singapore,Panama; Singapore,Bilateral,E S,,E S,Language,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,EU - Albania,"['ALB', 'AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'LTU', 'LUX', 'LVA', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE']",29,2006,2006-06-12,2006-12-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral; One Party is an RTA,Europe,No,Yes,en,12,none,,False,False,False,True,4,plurilateral_symmetric,"29-party agreement, no dominant template detected. G20 members present: 4",modern_global,EU - Albania,Albania; Austria; Belgium; Bulgaria; Croatia; Cyprus; Czech Republic; Denmark; Estonia; Finland; France; Germany; Greece; Hungary; Ireland; Italy; Latvia; Lithuania; Luxembourg; Malta; Netherlands; Poland; Portugal; Romania; Slovak Republic; Slovenia; Spain; Sweden,Albania; Austria; Belgium; Cyprus; Czech Republic; Denmark; Estonia; Finland; France; Germany; Greece; Hungary; Ireland; Italy; Latvia; Lithuania; Luxembourg; Malta; Netherlands; Poland; Portugal; Slovak Republic; Slovenia; Spain; Sweden; United Kingdom,Bilateral; One Party is an RTA,E,,E,Language,,E F S,,,,,E F S,EU Treaty,European Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Turkey - Syria,"['SYR', 'TUR']",2,2004,2004-12-23,2007-01-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Middle East; Europe,Yes,No,en,13,none,,False,False,False,False,1,bilateral_asymmetric,"One major economy, one smaller partner — possible power asymmetry but no known template detected. Treat with caution.",modern_global,Türkiye - Syrian Arab Republic,Syrian Arab Republic; Türkiye,Syrian Arab Republic; Türkiye,Bilateral,E,,E,,,,,,,,,,,"Türkiye, Ministry of Trade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,EFTA - Lebanon,"['CHE', 'ISL', 'LBN', 'LIE', 'NOR']",5,2004,2004-06-24,2007-01-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe; Middle East,Yes,No,en,15,none,,False,False,False,True,0,plurilateral_symmetric,"5-party agreement, no dominant template detected. G20 members present: 0",modern_global,EFTA - Lebanon,Iceland; Liechtenstein; Norway; Switzerland; Lebanese Republic,Iceland; Liechtenstein; Norway; Switzerland; Lebanese Republic,Bilateral; One Party is an RTA,E,,E,,,,,European Free Trade Association (EFTA),"Notification of the entry into force of Decision No. 1 of 2011 of the Joint EFTA-Lebanon Committee concerning the replacement of the Table to Annex IV by the Annex to this Decision. 

The Decision introduces adjustments in the HS structure of the Table to Annex IV to the Agreement. These adjustments are due to the amendments of the Nomenclature appended to the International Convention on the Harmonized Commodity Description and Coding System (HS), which entered into force on 1 January 2007.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Pan-Arab Free Trade Area (PAFTA),"['ARE', 'BHR', 'EGY', 'IRQ', 'JOR', 'KWT', 'LBN', 'LBY', 'MAR', 'OMN', 'QAT', 'SAU', 'SDN', 'SYR', 'TUN', 'YEM']",16,1997,1997-02-19,1998-01-01,In Force,Free Trade Agreement,GATT Art. XXIV,Plurilateral,Middle East; Africa,Yes,No,en,16,none,,False,False,False,True,1,plurilateral_symmetric,"16-party agreement, no dominant template detected. G20 members present: 1",modern_global,Pan-Arab Free Trade Area (PAFTA),"Bahrain, Kingdom of; Egypt; Iraq; Jordan; Kuwait, the State of; Lebanese Republic; Libya; Morocco; Oman; Qatar; Saudi Arabia, Kingdom of; Sudan; Syrian Arab Republic; Tunisia; United Arab Emirates; Yemen","Bahrain, Kingdom of; Egypt; Iraq; Jordan; Kuwait, the State of; Lebanese Republic; Libya; Morocco; Oman; Qatar; Saudi Arabia, Kingdom of; Sudan; Syrian Arab Republic; Tunisia; United Arab Emirates; Yemen",Plurilateral,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Gulf Cooperation Council (GCC),"['ARE', 'BHR', 'KWT', 'OMN', 'QAT', 'SAU']",6,2001,2001-12-31,2003-01-01,In Force,Customs Union,,Plurilateral,Middle East,No,Yes,en,17,none,,False,False,False,True,1,plurilateral_symmetric,"6-party agreement, no dominant template detected. G20 members present: 1",modern_global,Gulf Cooperation Council (GCC),"Bahrain, Kingdom of; Kuwait, the State of; Oman; Qatar; Saudi Arabia, Kingdom of; United Arab Emirates","Bahrain, Kingdom of; Kuwait, the State of; Oman; Qatar; Saudi Arabia, Kingdom of; United Arab Emirates",Plurilateral,E,,,,,,,,,,,,,,,Secretariat General of the Gulf Cooperation Council (GCC),,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,EU - Algeria,"['AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'DZA', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'LTU', 'LUX', 'LVA', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE']",29,2002,2002-04-22,2005-09-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Africa; Europe,Yes,No,en,18,none,,False,False,False,True,4,plurilateral_symmetric,"29-party agreement, no dominant template detected. G20 members present: 4",modern_global,EU - Algeria,Algeria; Austria; Belgium; Bulgaria; Croatia; Cyprus; Czech Republic; Denmark; Estonia; Finland; France; Germany; Greece; Hungary; Ireland; Italy; Latvia; Lithuania; Luxembourg; Malta; Netherlands; Poland; Portugal; Romania; Slovak Republic; Slovenia; Spain; Sweden,Algeria; Austria; Belgium; Cyprus; Czech Republic; Denmark; Estonia; Finland; France; Germany; Greece; Hungary; Ireland; Italy; Latvia; Lithuania; Luxembourg; Malta; Netherlands; Poland; Portugal; Slovak Republic; Slovenia; Spain; Sweden; United Kingdom,Bilateral; One Party is an RTA,E F S,,E F S,,,,,,,,,EU Treaty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,US - Bahrain,"['BHR', 'USA']",2,2005,2005-09-14,2006-08-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Middle East; North America,Yes,Yes,en,19,us_tpa_template,USA,True,True,False,False,1,bilateral_asymmetric,"USA template exported to smaller partner (us_tpa_template). High CCS may reflect imposition, not organic completeness.",modern_global,United States - Bahrain,"Bahrain, Kingdom of; United States of America","Bahrain, Kingdom of; United States of America",Bilateral,E,,E,Language,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Costa Rica - Mexico,"['CRI', 'MEX']",2,1994,1994-04-05,1995-01-01,Inactive,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Central America; North America,Yes,Yes,es,20,none,,False,False,False,False,1,bilateral_asymmetric,"One major economy, one smaller partner — possible power asymmetry but no known template detected. Treat with caution.",modern_global,Costa Rica - Mexico,,Costa Rica; Mexico,Bilateral,,,,Language,E F S,,,,,,,,,,,,Mexico - Central America,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"EFTA - Korea, Republic of","['CHE', 'ISL', 'KOR', 'LIE', 'NOR']",5,2005,2005-12-15,2006-09-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral; One Party is an RTA,Europe; East Asia,Yes,Yes,en,21,none,,False,False,False,True,1,plurilateral_symmetric,"5-party agreement, no dominant template detected. G20 members present: 1",modern_global,"EFTA - Korea, Republic of","Iceland; Liechtenstein; Norway; Switzerland; Korea, Republic of","Iceland; Liechtenstein; Norway; Switzerland; Korea, Republic of",Bilateral; One Party is an RTA,E,,E,Language,E F S,,,European Free Trade Association (EFTA),"Notification of the entry into force of Decision No. 1 of 2020 of the Joint EFTA-Korea Committee concerning amendments to Annex I to the Agreement on Rules of Origin and Customs Procedures.

Amendments to the HS structure of Appendix 2 and Appendix 4 to Annex I, in line with amendments to the Nomenclature appended to the International Convention on the Harmonized Commodity Description and Coding System (HS), which entered into force on 1 January 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Japan - Malaysia,"['JPN', 'MYS']",2,2005,2005-12-13,2006-07-13,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,East Asia,No,Yes,en,22,japan_epa_template,JPN,True,False,False,False,1,bilateral_asymmetric,"JPN template exported to smaller partner (japan_epa_template). High CCS may reflect imposition, not organic completeness.",modern_global,Japan - Malaysia,Japan; Malaysia,Japan; Malaysia,Bilateral,E,,E,Language,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Jordan - Singapore,"['JOR', 'SGP']",2,2004,2004-05-16,2005-08-22,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Middle East; East Asia,Yes,Yes,en,23,none,,False,False,False,False,0,bilateral_symmetric,South-South or peer agreement — no asymmetry signals detected. CCS reflects genuine bilateral negotiation.,modern_global,Jordan - Singapore,Jordan; Singapore,Jordan; Singapore,Bilateral,E,,E,Language,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Mexico - Northern Triangle,"['GTM', 'HND', 'MEX', 'SLV']",4,2000,2000-06-29,2001-03-15,Inactive,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Central America; North America,Yes,Yes,es,24,none,,False,False,False,True,1,plurilateral_symmetric,"4-party agreement, no dominant template detected. G20 members present: 1",modern_global,Mexico - Guatemala (Mexico - Northern Triangle),,Guatemala; Mexico,Bilateral,S,,S,Language,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Dominican Republic - Central America - United States Free Trade Agreement (CAFTA-DR),"['CRI', 'DOM', 'GTM', 'HND', 'NIC', 'SLV', 'USA']",7,2004,2004-08-05,2006-03-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Plurilateral,Central America; Caribbean; North America,Yes,Yes,en,27,us_tpa_template,USA,True,True,False,True,1,plurilateral_template,USA template imposed across 7 parties (us_tpa_template),modern_global,Dominican Republic - Central America - United States Free Trade Agreement (CAFTA-DR),Costa Rica; Dominican Republic; El Salvador; Guatemala; Honduras; Nicaragua; United States of America,Costa Rica; Dominican Republic; El Salvador; Guatemala; Honduras; Nicaragua; United States of America,Plurilateral,E S,,E S,Language,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Korea, Republic of - Singapore","['KOR', 'SGP']",2,2005,2005-08-04,2006-03-02,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,East Asia,No,Yes,en,28,none,,False,False,False,False,1,bilateral_asymmetric,"One major economy, one smaller partner — possible power asymmetry but no known template detected. Treat with caution.",modern_global,"Korea, Republic of - Singapore","Korea, Republic of; Singapore","Korea, Republic of; Singapore",Bilateral,E,,E,Language,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Turkey - Morocco,"['MAR', 'TUR']",2,2004,2004-04-07,2006-01-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Africa; Europe,Yes,Yes,en,29,none,,False,False,False,False,1,bilateral_asymmetric,"One major economy, one smaller partner — possible power asymmetry but no known template detected. Treat with caution.",modern_global,Türkiye - Morocco,Morocco; Türkiye,Morocco; Türkiye,Bilateral,E F S,,F,Language,,E F S,,,,,,,,"Türkiye, Ministry of Trade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,US - Morocco,"['MAR', 'USA']",2,2004,2004-06-15,2006-01-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Africa; North America,Yes,Yes,en,30,us_tpa_template,USA,True,True,False,False,1,bilateral_asymmetric,"USA template exported to smaller partner (us_tpa_template). High CCS may reflect imposition, not organic completeness.",modern_global,United States - Morocco,Morocco; United States of America,Morocco; United States of America,Bilateral,E,,E,Language,E F S,,,,,,,,,,,,,Office of the United States Trade Representative,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Thailand - New Zealand,"['NZL', 'THA']",2,2005,2005-04-19,2005-07-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Oceania; East Asia,Yes,Yes,en,31,none,,False,False,False,False,0,bilateral_symmetric,South-South or peer agreement — no asymmetry signals detected. CCS reflects genuine bilateral negotiation.,modern_global,Thailand - New Zealand,New Zealand; Thailand,New Zealand; Thailand,Bilateral,E,,E,Language,,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Mexico - Nicaragua,"['MEX', 'NIC']",2,1997,1997-12-18,1998-07-01,Inactive,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,North America; Central America,Yes,Yes,es,32,none,,False,False,False,False,1,bilateral_asymmetric,"One major economy, one smaller partner — possible power asymmetry but no known template detected. Treat with caution.",modern_global,Mexico - Nicaragua,,Mexico; Nicaragua,Bilateral,S,,S,Language,,E F S,,,,,,,,,,,Mexico - Central America,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,EU - Chile,"['AUT', 'BEL', 'BGR', 'CHL', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'LTU', 'LUX', 'LVA', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE']",29,2002,2002-11-18,2003-02-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral; One Party is an RTA,Europe; South America,Yes,Yes,en,33,none,,False,False,False,True,4,plurilateral_symmetric,"29-party agreement, no dominant template detected. G20 members present: 4",modern_global,EU - Chile (Association Agreement),,Austria; Belgium; Chile; Denmark; Finland; France; Germany; Greece; Ireland; Italy; Luxembourg; Netherlands; Portugal; Spain; Sweden; United Kingdom,Plurilateral,E S,,E S,Language,,,,,,,E F S,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,
30,Turkey - Palestinian Authority,"['PSE', 'TUR']",2,2004,2004-07-20,2005-06-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Middle East; Europe,Yes,No,en,34,none,,False,False,False,False,1,bilateral_asymmetric,"One major economy, one smaller partner — possible power asymmetry but no known template detected. Treat with caution.",modern_global,Türkiye - Palestine,Palestine; Türkiye,Palestine; Türkiye,Bilateral,E F S,,E,,,,,,,,,,,"Türkiye, Ministry of Trade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Turkey - Tunisia,"['TUN', 'TUR']",2,2004,2004-11-25,2005-07-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Africa; Europe,Yes,Yes,en,35,none,,False,False,False,False,1,bilateral_asymmetric,"One major economy, one smaller partner — possible power asymmetry but no known template detected. Treat with caution.",modern_global,Türkiye - Tunisia,Tunisia; Türkiye,Tunisia; Türkiye,Bilateral,E F S,,E,Language,,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Economic Community of West African States (ECOWAS),"['BEN', 'BFA', 'CIV', 'CPV', 'GHA', 'GIN', 'GMB', 'GNB', 'LBR', 'MLI', 'NER', 'NGA', 'SEN', 'SLE', 'TGO']",15,1993,1993-07-24,1993-07-24,In Force,Customs Union,Enabling Clause,Plurilateral,Africa,No,No,en,36,none,,False,False,False,True,0,plurilateral_symmetric,"15-party agreement, no dominant template detected. G20 members present: 0",modern_global,Economic Community of West African States (ECOWAS),Benin; Burkina Faso; Cabo Verde; Côte d'Ivoire; Ghana; Guinea; Guinea-Bissau; Liberia; Mali; Niger; Nigeria; Senegal; Sierra Leone; The Gambia; Togo,Benin; Burkina Faso; Cabo Verde; Côte d'Ivoire; Ghana; Guinea; Guinea-Bissau; Liberia; Mali; Niger; Nigeria; Senegal; Sierra Leone; The Gambia; Togo,Plurilateral,E,,E,Language,,,,,,,,,,,,,,,E,Economic Community of West African States (ECOWAS),,,,,,,,,,,,,,,,,,,,,,,,
33,EFTA - Tunisia,"['CHE', 'ISL', 'LIE', 'NOR', 'TUN']",5,2004,2004-12-17,2005-06-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe; Africa,Yes,Yes,en,37,none,,False,False,False,True,0,plurilateral_symmetric,"5-party agreement, no dominant template detected. G20 members present: 0",modern_global,EFTA - Tunisia,Iceland; Liechtenstein; Norway; Switzerland; Tunisia,Iceland; Liechtenstein; Norway; Switzerland; Tunisia,Bilateral; One Party is an RTA,E F,,E F,Language,,E F S,,European Free Trade Association (EFTA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Japan - Mexico,"['JPN', 'MEX']",2,2004,2004-09-17,2005-04-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,East Asia; North America,Yes,Yes,en,38,japan_epa_template,JPN,True,False,False,False,2,bilateral_asymmetric,"JPN template exported to smaller partner (japan_epa_template). High CCS may reflect imposition, not organic completeness.",modern_global,Japan - Mexico,Japan; Mexico,Japan; Mexico,Bilateral,E,,E,Language,E F S,,,,"Notification of the Protocol Amending the Agreement between Japan and Mexico for the Strengthening of the Economic Partnership.

Pursuant to Article 174 of the Agreement between Japan and Mexico for the Strengthening of the Economic Partnership, signed at Mexico City on 17 September 2004, the Parties agreed to amend the Agreement to improve market access conditions on certain originating goods and revise the provisions on trade in goods as well as certification of origin and custom procedures.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Panama - Central America,"['CRI', 'GTM', 'HND', 'NIC', 'PAN', 'SLV']",6,2002,2002-03-06,2003-04-11,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Central America,No,Yes,es,39,none,,False,False,False,True,0,plurilateral_symmetric,"6-party agreement, no dominant template detected. G20 members present: 0",modern_global,Panama - El Salvador (Panama - Central America),El Salvador; Panama,El Salvador; Panama,Bilateral,S,,,Language,E F S,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,
